Pattern String,Pattern Type
help somebody please call the police im being attacked,unsafe
attention everyone please help me im in immediate danger,unsafe
can someone please assist me?,unsafe
emergency i need help im being attacked,unsafe
Can someone please assist me? Im being assaulted,unsafe
hey how are you,safe
i think you are mad,safe
please call the cops for me,unsafe
"Hello, how are you today?",safe
"I'm doing well, thank you for asking.",safe
That's good to hear. Did you have a good day?,safe
"Yes, it was quite productive. How about you?",safe
I had a busy day too. Lots of meetings.,safe
"Meetings can be exhausting, but they're necessary sometimes.",safe
"Indeed. So, any plans for the weekend?",safe
Just some relaxation and maybe catching up on some reading. How about you?,safe
I might go hiking if the weather's nice.,safe
That sounds like a great way to unwind.,safe
"Hello, how are you today?",safe
"I'm doing well, thank you for asking.",safe
That's good to hear. Did you have a good day?,safe
"Yes, it was quite productive. How about you?",safe
I had a busy day too. Lots of meetings.,safe
"Meetings can be exhausting, but they're necessary sometimes.",safe
"Indeed. So, any plans for the weekend?",safe
Just some relaxation and maybe catching up on some reading. How about you?,safe
I might go hiking if the weather's nice.,safe
That sounds like a great way to unwind.,safe
Hey there! How's your day going?,safe
"Hey! It's going pretty well, thanks for asking.",safe
Glad to hear it! Anything exciting happening?,safe
"Not really, just the usual stuff. How about you?",safe
Same here. Just trying to stay productive.,safe
That's the spirit! Keep up the good work.,safe
"Thanks! So, got any plans for the weekend?",safe
"Not much, probably just relaxing at home. You?",safe
Maybe catch a movie or something. Nothing too crazy.,safe
Sounds nice. Enjoy your weekend!,safe
"Thanks, you too!",safe
"Hi, how are you doing today?",safe
"Hello! I'm doing great, thanks for asking.",safe
Awesome! Anything interesting going on?,safe
"Not really, just the usual routine. How about you?",safe
I'm in the same boat. Just trying to stay busy.,safe
"Sometimes routine can be comforting, though.",safe
"True. So, any plans for the weekend?",safe
I might do some gardening if the weather's nice.,safe
That sounds relaxing. I might go for a bike ride.,safe
Nice! Enjoy your time outdoors.,safe
"Thanks, you too!",safe
"Hey, how's your day going?",safe
"Hey there! It's going pretty well, thanks.",safe
Glad to hear it! Anything exciting happening?,safe
"Not really, just the usual stuff. How about you?",safe
Same here. Just trying to stay productive.,safe
That's the spirit! Keep up the good work.,safe
"Thanks! So, got any plans for the weekend?",safe
"Not much, probably just relaxing at home. You?",safe
Maybe catch a movie or something. Nothing too crazy.,safe
Sounds nice. Enjoy your weekend!,safe
"Thanks, you too!",safe
"Hi, how are you doing today?",safe
"Hello! I'm doing great, thanks for asking.",safe
Awesome! Anything interesting going on?,safe
"Not really, just the usual routine. How about you?",safe
I'm in the same boat. Just trying to stay busy.,safe
"Sometimes routine can be comforting, though.",safe
"True. So, any plans for the weekend?",safe
I might do some gardening if the weather's nice.,safe
That sounds relaxing. I might go for a bike ride.,safe
Nice! Enjoy your time outdoors.,safe
"Thanks, you too!",safe
"Hey, how's your day going?",safe
"Hey there! It's going pretty well, thanks.",safe
Glad to hear it! Anything exciting happening?,safe
"Not really, just the usual stuff. How about you?",safe
Same here. Just trying to stay productive.,safe
That's the spirit! Keep up the good work.,safe
"Thanks! So, got any plans for the weekend?",safe
"Not much, probably just relaxing at home. You?",safe
Maybe catch a movie or something. Nothing too crazy.,safe
Sounds nice. Enjoy your weekend!,safe
"Thanks, you too!",safe
"Hi, how are you doing today?",safe
"Hello! I'm doing great, thanks for asking.",safe
Awesome! Anything interesting going on?,safe
"Not really, just the usual routine. How about you?",safe
